episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-916.1103700716716,916.1103700716716,1,0.0,1.0,11,double_dqn,0
1,-1210.710385035572,1210.710385035572,1,0.0,1.0,13,double_dqn,0
2,-1899.0105771563149,1899.0105771563149,1,0.0,1.0,6,double_dqn,0
3,-1104.2837224665468,1104.2837224665468,1,0.0,1.0,10,double_dqn,0
4,-912.9425048875785,912.9425048875785,1,0.0,1.0,6,double_dqn,0
5,-1662.4128850568939,1662.4128850568939,1,0.0,1.0,5,double_dqn,0
6,-707.7998454057536,707.7998454057536,1,0.0,1.0,11,double_dqn,0
7,-1619.0801373110999,1619.0801373110999,1,0.0,1.0,12,double_dqn,0
8,-1342.5505378359069,1342.5505378359069,1,0.0,1.0,3,double_dqn,0
9,-2187.920311047324,2187.920311047324,1,0.0,1.0,12,double_dqn,0
10,-808.4389716761291,808.4389716761291,1,0.0,1.0,10,double_dqn,0
11,-1100.624449372022,1100.624449372022,1,0.0,1.0,7,double_dqn,0
12,-693.1309668416833,693.1309668416833,1,0.0,1.0,9,double_dqn,0
13,-674.8294645102325,674.8294645102325,1,0.0,1.0,7,double_dqn,0
14,-680.1246977640551,680.1246977640551,1,0.0,1.0,6,double_dqn,0
15,-1452.2308706587125,1452.2308706587125,1,0.0,1.0,7,double_dqn,0
16,-1895.4892747128472,1895.4892747128472,1,0.0,1.0,8,double_dqn,0
17,-1509.3107801079454,1509.3107801079454,1,0.0,1.0,8,double_dqn,0
18,-1692.7356091416211,1692.7356091416211,1,0.0,1.0,6,double_dqn,0
19,-1120.3428482735171,1120.3428482735171,1,0.0,1.0,7,double_dqn,0
20,-1069.1488523787173,1069.1488523787173,1,0.0,1.0,9,double_dqn,0
21,-885.4891142790887,885.4891142790887,1,0.0,1.0,7,double_dqn,0
22,-965.1859517500619,965.1859517500619,1,0.0,1.0,7,double_dqn,0
23,-2499.5375061034792,2499.5375061034792,1,0.0,1.0,1,double_dqn,0
24,-986.352121559478,986.352121559478,1,0.0,1.0,16,double_dqn,0
25,-834.6941443961282,834.6941443961282,1,0.0,1.0,11,double_dqn,0
26,-2514.962463378879,2514.962463378879,1,0.0,1.0,1,double_dqn,0
27,-1531.274550372487,1531.274550372487,1,0.0,1.0,2,double_dqn,0
28,-1441.0472779615272,1441.0472779615272,1,0.0,1.0,3,double_dqn,0
29,-832.8933603070527,832.8933603070527,1,0.0,1.0,21,double_dqn,0
30,-965.1627447231186,965.1627447231186,1,0.0,1.0,8,double_dqn,0
31,-1391.1338156399875,1391.1338156399875,1,0.0,1.0,8,double_dqn,0
32,-1099.6790099693508,1099.6790099693508,1,0.0,1.0,14,double_dqn,0
33,-614.7823460449769,614.7823460449769,1,0.0,1.0,16,double_dqn,0
34,-837.3280200068,837.3280200068,1,0.0,1.0,7,double_dqn,0
35,-1074.776119256635,1074.776119256635,1,0.0,1.0,6,double_dqn,0
36,-1624.7302156358996,1624.7302156358996,1,0.0,1.0,11,double_dqn,0
37,-1469.2368886483032,1469.2368886483032,1,0.0,1.0,9,double_dqn,0
38,-1907.3153236597166,1907.3153236597166,1,0.0,1.0,9,double_dqn,0
39,-608.7156963126291,608.7156963126291,1,0.0,1.0,5,double_dqn,0
40,-1530.892042622505,1530.892042622505,1,0.0,1.0,2,double_dqn,0
41,-1355.1165711204353,1355.1165711204353,1,0.0,1.0,5,double_dqn,0
42,-1301.9779543423715,1301.9779543423715,1,0.0,1.0,6,double_dqn,0
43,-921.3639293349618,921.3639293349618,1,0.0,1.0,10,double_dqn,0
44,-2508.137512206986,2508.137512206986,1,0.0,1.0,1,double_dqn,0
45,-1281.429503466255,1281.429503466255,1,0.0,1.0,15,double_dqn,0
46,-914.259253915355,914.259253915355,1,0.0,1.0,4,double_dqn,0
47,-992.680782305435,992.680782305435,1,0.0,1.0,4,double_dqn,0
48,-771.944262592604,771.944262592604,1,0.0,1.0,13,double_dqn,0
49,-496.776326839008,496.776326839008,1,0.0,1.0,15,double_dqn,0
50,-1001.4464691507582,1001.4464691507582,1,0.0,1.0,8,double_dqn,0
51,-1374.1595850480267,1374.1595850480267,1,0.0,1.0,3,double_dqn,0
52,-1055.1949028437691,1055.1949028437691,1,0.0,1.0,8,double_dqn,0
